Datetime,Water Level (m)
2024-08-26 12:00:00,0.45855847
2024-08-26 13:00:00,0.65154546
2024-08-26 14:00:00,0.79164577
2024-08-26 15:00:00,0.8710092
2024-08-26 16:00:00,0.8620222
2024-08-26 17:00:00,0.7699327
2024-08-26 18:00:00,0.6610706
2024-08-26 19:00:00,0.5421013
2024-08-26 20:00:00,0.42073488
2024-08-26 21:00:00,0.3083547
2024-08-26 22:00:00,0.2465782
2024-08-26 23:00:00,0.3040885
2024-08-27 00:00:00,0.4672855
2024-08-27 01:00:00,0.65537053
2024-08-27 02:00:00,0.83392316
2024-08-27 03:00:00,0.98711437
2024-08-27 04:00:00,1.0643266
2024-08-27 05:00:00,1.0646722
2024-08-27 06:00:00,1.0142847
2024-08-27 07:00:00,0.92230654
2024-08-27 08:00:00,0.8118834
2024-08-27 09:00:00,0.6929564
2024-08-27 10:00:00,0.5819146
2024-08-27 11:00:00,0.5130985
2024-08-27 12:00:00,0.5148715
2024-08-27 13:00:00,0.5556515
2024-08-27 14:00:00,0.62681895
2024-08-27 15:00:00,0.6994057
2024-08-27 16:00:00,0.7496724
2024-08-27 17:00:00,0.7486802
2024-08-27 18:00:00,0.70381624
2024-08-27 19:00:00,0.64274395
2024-08-27 20:00:00,0.5631709
2024-08-27 21:00:00,0.46729335
2024-08-27 22:00:00,0.37376294
2024-08-27 23:00:00,0.31970307
2024-08-28 00:00:00,0.3493536
2024-08-28 01:00:00,0.45136973
2024-08-28 02:00:00,0.59200984
2024-08-28 03:00:00,0.72212875
2024-08-28 04:00:00,0.85490775
2024-08-28 05:00:00,0.96784705
2024-08-28 06:00:00,1.0181285
2024-08-28 07:00:00,1.0096016
2024-08-28 08:00:00,0.9566477
2024-08-28 09:00:00,0.8767878
2024-08-28 10:00:00,0.77680147
2024-08-28 11:00:00,0.6663911
2024-08-28 12:00:00,0.57638407
2024-08-28 13:00:00,0.5264281
2024-08-28 14:00:00,0.5267811
2024-08-28 15:00:00,0.5555073
2024-08-28 16:00:00,0.60442656
2024-08-28 17:00:00,0.66974604
2024-08-28 18:00:00,0.7237801
2024-08-28 19:00:00,0.72989154
2024-08-28 20:00:00,0.6952899
2024-08-28 21:00:00,0.6417277
2024-08-28 22:00:00,0.56774855
2024-08-28 23:00:00,0.4794488
2024-08-29 00:00:00,0.40386167
2024-08-29 01:00:00,0.3787075
2024-08-29 02:00:00,0.437881
2024-08-29 03:00:00,0.559848
2024-08-29 04:00:00,0.7015902
2024-08-29 05:00:00,0.8321654
2024-08-29 06:00:00,0.9724948
2024-08-29 07:00:00,1.0732003
2024-08-29 08:00:00,1.09298
2024-08-29 09:00:00,1.0546523
2024-08-29 10:00:00,0.9825905
2024-08-29 11:00:00,0.87966055
2024-08-29 12:00:00,0.7577305
2024-08-29 13:00:00,0.63556814
2024-08-29 14:00:00,0.53748184
2024-08-29 15:00:00,0.5076332
2024-08-29 16:00:00,0.53746784
2024-08-29 17:00:00,0.5993065
2024-08-29 18:00:00,0.68934196
2024-08-29 19:00:00,0.7738159
2024-08-29 20:00:00,0.81571686
2024-08-29 21:00:00,0.79690766
2024-08-29 22:00:00,0.7413621
2024-08-29 23:00:00,0.6633598
2024-08-30 00:00:00,0.57386833
2024-08-30 01:00:00,0.4734247
2024-08-30 02:00:00,0.40710795
2024-08-30 03:00:00,0.43338755
2024-08-30 04:00:00,0.55432945
2024-08-30 05:00:00,0.73334676
2024-08-30 06:00:00,0.89500666
2024-08-30 07:00:00,1.0597358
2024-08-30 08:00:00,1.1798639
2024-08-30 09:00:00,1.2053788
2024-08-30 10:00:00,1.1834444
2024-08-30 11:00:00,1.1128552
2024-08-30 12:00:00,1.003476
2024-08-30 13:00:00,0.86655194
2024-08-30 14:00:00,0.72571194
2024-08-30 15:00:00,0.60743445
2024-08-30 16:00:00,0.5759672
2024-08-30 17:00:00,0.6303528
2024-08-30 18:00:00,0.73961186
2024-08-30 19:00:00,0.8731543
2024-08-30 20:00:00,0.98642033
2024-08-30 21:00:00,1.0378418
2024-08-30 22:00:00,1.0151811
2024-08-30 23:00:00,0.9602419
2024-08-31 00:00:00,0.87955683
2024-08-31 01:00:00,0.7722839
2024-08-31 02:00:00,0.65176415
2024-08-31 03:00:00,0.55524814
2024-08-31 04:00:00,0.57209134
2024-08-31 05:00:00,0.7061854
2024-08-31 06:00:00,0.9174106
2024-08-31 07:00:00,1.1091608
2024-08-31 08:00:00,1.2800223
2024-08-31 09:00:00,1.3835698
2024-08-31 10:00:00,1.402906
2024-08-31 11:00:00,1.3641331
2024-08-31 12:00:00,1.2772124
2024-08-31 13:00:00,1.1482093
2024-08-31 14:00:00,0.995984
2024-08-31 15:00:00,0.8436321
2024-08-31 16:00:00,0.73390466
2024-08-31 17:00:00,0.7531587
2024-08-31 18:00:00,0.8762237
2024-08-31 19:00:00,1.0673083
2024-08-31 20:00:00,1.2364004
2024-08-31 21:00:00,1.3541697
2024-08-31 22:00:00,1.3918198
2024-08-31 23:00:00,1.3642136
2024-09-01 00:00:00,1.2893399
2024-09-01 01:00:00,1.1789182
2024-09-01 02:00:00,1.0348364
2024-09-01 03:00:00,0.8877808
2024-09-01 04:00:00,0.7797608
2024-09-01 05:00:00,0.81744
2024-09-01 06:00:00,0.9844552
2024-09-01 07:00:00,1.213991
2024-09-01 08:00:00,1.4043456
2024-09-01 09:00:00,1.5447066
2024-09-01 10:00:00,1.5956744
2024-09-01 11:00:00,1.5769368
2024-09-01 12:00:00,1.5039252
